TICKER,ACCURACY,PRECISION,RECALL,F1_SCORE,STATUS
MFGS,0.6148648648648649,0.606974716652136,0.6148648648648649,0.6056456456456456,SUCCESS
MGKL,0.6351351351351351,0.6555517024642927,0.6351351351351351,0.6430928655928656,SUCCESS
MGNT,0.7162162162162162,0.7180262114119079,0.7162162162162162,0.7145236145236146,SUCCESS
MGTSP,0.6081081081081081,0.6037912912912913,0.6081081081081081,0.6058440478317387,SUCCESS
MGTS,0.6621621621621622,0.6557114807114807,0.6621621621621622,0.6584284604697052,SUCCESS
MISBP,0.7094594594594594,0.7092119592119591,0.7094594594594594,0.7083106358244293,SUCCESS
MISB,0.6621621621621622,0.6495991001036718,0.6621621621621622,0.6526661796932068,SUCCESS
MOEX,0.668918918918919,0.66905399891936,0.668918918918919,0.6672886332217053,SUCCESS
MRKC,0.6891891891891891,0.693070730304773,0.6891891891891891,0.6897848869277442,SUCCESS
MRKK,0.6283783783783784,0.6186523080140102,0.6283783783783784,0.6229388071833375,SUCCESS
MRKP,0.6756756756756757,0.6783091615024388,0.6756756756756757,0.6769420185261769,SUCCESS
MRKS,0.6554054054054054,0.6500580253629035,0.6554054054054054,0.6524852522425338,SUCCESS
MRKU,0.6756756756756757,0.6791284081200046,0.6756756756756757,0.6772802136719663,SUCCESS
MRKV,0.6621621621621622,0.6673384291627534,0.6621621621621622,0.6603175409566386,SUCCESS
MRKY,0.6486486486486487,0.6422062292687015,0.6486486486486487,0.6433635175612069,SUCCESS
MRKZ,0.6756756756756757,0.6742277992277993,0.6756756756756757,0.6743675493675493,SUCCESS
MRSB,0.6418918918918919,0.6496120941409695,0.6418918918918919,0.6450685596561885,SUCCESS
MSNG,0.6554054054054054,0.6550617452256797,0.6554054054054054,0.6511847407687068,SUCCESS
MSRS,0.6418918918918919,0.6395634095634096,0.6418918918918919,0.640274415955109,SUCCESS
MSTT,0.668918918918919,0.6719424138778978,0.668918918918919,0.6657978076073878,SUCCESS
MTLRP,0.7162162162162162,0.7217976757013301,0.7162162162162162,0.7144542966253095,SUCCESS
MTLR,0.7094594594594594,0.7113683805756976,0.7094594594594594,0.7087484936984237,SUCCESS
MTSS,0.6621621621621622,0.6670896374843743,0.6621621621621622,0.6626774738989237,SUCCESS
MVID,0.6621621621621622,0.6586117936117936,0.6621621621621622,0.660336281122798,SUCCESS
NAUK,0.6959459459459459,0.6989301801801802,0.6959459459459459,0.695434459138778,SUCCESS
NFAZ,0.6148648648648649,0.6073142814946093,0.6148648648648649,0.6100974980285325,SUCCESS
NKHP,0.6959459459459459,0.69031306979961,0.6959459459459459,0.692294735242451,SUCCESS
NKNCP,0.6756756756756757,0.6756756756756757,0.6756756756756757,0.6756756756756757,SUCCESS
NKNC,0.6824324324324325,0.6937918631219065,0.6824324324324325,0.6837130657885374,SUCCESS
NKSH,0.6554054054054054,0.6537072167304725,0.6554054054054054,0.6544389070124363,SUCCESS
NLMK,0.7162162162162162,0.7163028413028413,0.7162162162162162,0.7161026572791278,SUCCESS
NMTP,0.7162162162162162,0.7159496498159289,0.7162162162162162,0.7150781776950002,SUCCESS
NNSBP,0.6418918918918919,0.6516879410198376,0.6418918918918919,0.6446110511531071,SUCCESS
NNSB,0.668918918918919,0.6695911973034615,0.668918918918919,0.664482495358311,SUCCESS
NSVZ,0.6959459459459459,0.6965205590205589,0.6959459459459459,0.6961946697901754,SUCCESS
NVTK,0.722972972972973,0.7225975975975976,0.722972972972973,0.7227453652687298,SUCCESS
OGKB,0.6486486486486487,0.6507985257985258,0.6486486486486487,0.6490270227247484,SUCCESS
OKEY,0.6959459459459459,0.695342664092664,0.6959459459459459,0.695607389959045,SUCCESS
OMZZP,0.668918918918919,0.6641203467618563,0.668918918918919,0.6640844709425582,SUCCESS
OZON,0.7702702702702703,0.7724601410008604,0.7702702702702703,0.7694344256234755,SUCCESS
OZPH,0.8175675675675675,0.8632712901580827,0.8175675675675675,0.7860969077185292,SUCCESS
PAZA,0.5945945945945946,0.62359198964013,0.5945945945945946,0.5949811914132068,SUCCESS
PHOR,0.668918918918919,0.6704047989237707,0.668918918918919,0.6692008779521811,SUCCESS
PIKK,0.6824324324324325,0.6791122774729332,0.6824324324324325,0.6790212207092002,SUCCESS
PLZL,0.6891891891891891,0.6924268018018018,0.6891891891891891,0.6907539118065433,SUCCESS
PMSBP,0.6216216216216216,0.6272762558476844,0.6216216216216216,0.6240070505287897,SUCCESS
PMSB,0.6756756756756757,0.681753562072711,0.6756756756756757,0.6784001811962338,SUCCESS
POSI,0.7162162162162162,0.7191438684706738,0.7162162162162162,0.7164536378453905,SUCCESS
PRFN,0.6351351351351351,0.6530472496320148,0.6351351351351351,0.6419779024940244,SUCCESS
PRMB,0.581081081081081,0.5691971152337005,0.581081081081081,0.5740897225914853,SUCCESS
PRMD,0.7027027027027027,0.7168215276323384,0.7027027027027027,0.7021827021827022,SUCCESS
QIWI,0.7162162162162162,0.7108769284101395,0.7162162162162162,0.7132479013128493,SUCCESS
